# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7518  [004] ....  1930.184652: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184664: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184675: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184685: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184696: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184707: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184718: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184729: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184740: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184750: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184761: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184771: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184783: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184793: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184804: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184814: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184826: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184837: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184848: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184858: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184869: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184880: tlb_flush: pages:1 reason:local mm shootdown (3)
