# tracer: nop
#
# entries-in-buffer/entries-written: 10325/10325   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3017  [008] .... 144203.867431: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.927112: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927118: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927125: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927131: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927138: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927154: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927162: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927169: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927176: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927183: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927190: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927196: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927203: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927211: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927219: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927226: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927233: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927240: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927248: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927255: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927262: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927269: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927276: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927283: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927291: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927298: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927305: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927312: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927319: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927326: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927333: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927341: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927348: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927355: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927362: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927369: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927377: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927384: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927391: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927398: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927406: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927413: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927420: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927427: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927434: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927441: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927448: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927456: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927463: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927470: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927477: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927484: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927492: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927499: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927506: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927514: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927521: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927528: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927535: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927543: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927550: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927557: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927564: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927571: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927579: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927586: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927593: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927600: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927608: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927615: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927623: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927630: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927637: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927644: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927652: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927659: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927666: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927673: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927680: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927687: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927695: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927702: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927709: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927716: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927724: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927731: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927738: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927745: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927752: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927760: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927767: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927774: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927781: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927788: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927795: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927802: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927810: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927818: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927825: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927832: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927839: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927847: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927854: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927861: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927868: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927875: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927882: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927889: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927896: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927903: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927910: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927917: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927925: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927932: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927939: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927946: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927953: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927960: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927967: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927974: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927981: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927988: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927995: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928002: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928010: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928017: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928025: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928032: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928039: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928046: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928053: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928061: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928068: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928075: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928082: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928089: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928096: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928104: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928111: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928118: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928125: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928133: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928140: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928151: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928159: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928166: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928174: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928181: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928189: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928196: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928203: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928212: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928220: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928227: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928234: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928241: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928249: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.928256: tlb_flush: pages:1 reason:local mm shootdown (3)
