# tracer: nop
#
# entries-in-buffer/entries-written: 11636/11636   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8196  [001] .... 155298.198151: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.218015: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218027: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218038: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218050: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218061: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218073: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218084: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218095: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218107: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218118: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218130: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218141: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218153: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218165: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218176: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218188: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218199: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218211: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218222: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218234: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218245: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218256: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218268: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218279: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218291: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218304: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218316: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218328: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218341: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218353: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218365: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218378: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218390: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218402: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218414: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218426: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218438: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218450: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218461: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218473: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218485: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218497: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218509: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218521: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218533: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218544: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218556: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218568: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218580: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218592: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218604: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218616: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218627: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218639: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218651: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218664: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218676: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218688: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218700: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218712: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218724: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218735: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218747: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218771: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218783: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219128: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219137: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219145: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219415: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219423: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219430: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219438: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219445: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219452: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219460: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219467: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219474: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219482: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219489: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219496: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219503: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219510: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219518: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219526: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219533: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219540: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.219548: tlb_flush: pages:1 reason:local mm shootdown (3)
